Subject AB101128, Day 2, 29-Nov-2010 16:32:37
block	 trial	 cueEmo	 validity	 targLoc	 tilt	 contrast	 cueLoc	 cueID	 postCueLoc	 resp	 correct	 RT

 Start Time = 29-Nov-2010 17:01:23
6,     617,     Neut,      Inval,      targSE,     L,      0.39473,     cueNW,      7,           pcSE,           L,     1,     0.3853
6,     618,     Fear,      Distr,      targSW,     L,      0.22052,     cueDI,      1,           pcSW,           L,     1,     0.3370
6,     619,     Fear,      Distr,      targSW,     R,      0.1232,     cueDI,      10,           pcSW,           R,     1,     0.3552
6,     620,     Neut,      Inval,      targNW,     R,      0.1232,     cueSW,      4,           pcNW,           R,     1,     0.5073
6,     621,     Neut,      Valid,      targNW,     L,      0.02148,     cueNW,      5,           pcNW,           L,     1,     0.3135
6,     622,     Fear,      Inval,      targNE,     R,      0.02148,     cueNW,      1,           pcNE,           R,     1,     0.2825
6,     623,     Fear,      Distr,      targNW,     L,      0.1232,     cueDI,      8,           pcNW,           L,     1,     0.4185
6,     624,     Neut,      Valid,      targNE,     R,      0.39473,     cueNE,      6,           pcNE,           R,     1,     0.3134
6,     625,     Fear,      Inval,      targNE,     R,      0.02148,     cueSE,      3,           pcNE,           R,     1,     0.4102
6,     626,     Neut,      Valid,      targSW,     L,      0.012,     cueSW,      7,           pcSW,           L,     1,     0.2829
6,     627,     Neut,      Valid,      targSE,     R,      0.02148,     cueSE,      7,           pcSE,           R,     1,     0.3307
6,     628,     Neut,      Valid,      targNW,     L,      0.1232,     cueNW,      5,           pcNW,           L,     1,     0.4030
6,     629,     Neut,      Distr,      targNW,     R,      0.02148,     cueDI,      11,           pcNW,           R,     1,     0.3788
6,     630,     Fear,      Valid,      targNW,     R,      0.39473,     cueNW,      5,           pcNW,           R,     1,     0.3774
6,     631,     Fear,      Valid,      targSE,     R,      0.012,     cueSE,      7,           pcSE,           L,     0,     0.2576
6,     632,     Fear,      Distr,      targSE,     R,      0.068824,     cueDI,      5,           pcSE,           R,     1,     0.4433
6,     633,     Fear,      Valid,      targNW,     R,      0.1232,     cueNW,      1,           pcNW,           R,     1,     0.3854
6,     634,     Fear,      Distr,      targNE,     L,      0.1232,     cueDI,      6,           pcNE,           L,     1,     0.4117
6,     635,     Fear,      Inval,      targSE,     L,      0.068824,     cueNW,      1,           pcSE,           L,     1,     0.4095
6,     636,     Neut,      Distr,      targSE,     L,      0.1232,     cueDI,      2,           pcSE,           L,     1,     0.3867
6,     637,     Fear,      Distr,      targNE,     L,      0.22052,     cueDI,      4,           pcNE,           L,     1,     0.5159
6,     638,     Fear,      Valid,      targNW,     L,      0.012,     cueNW,      5,           pcNW,           R,     0,     0.3470
6,     639,     Fear,      Inval,      targNE,     L,      0.038449,     cueSW,      10,           pcNE,           L,     1,     0.4180
6,     640,     Neut,      Valid,      targNW,     R,      0.39473,     cueNW,      8,           pcNW,           R,     1,     0.3939
6,     641,     Fear,      Inval,      targSW,     R,      0.068824,     cueNE,      8,           pcSW,           R,     1,     0.6585
6,     642,     Fear,      Inval,      targNE,     L,      0.068824,     cueNW,      7,           pcNE,           L,     1,     0.3777
6,     643,     Neut,      Valid,      targNE,     R,      0.1232,     cueNE,      9,           pcNE,           L,     0,     0.3622
6,     644,     Fear,      Distr,      targNW,     R,      0.1232,     cueDI,      4,           pcNW,           R,     1,     0.4185
6,     645,     Fear,      Inval,      targNE,     L,      0.02148,     cueNW,      8,           pcNE,           L,     1,     0.4818
6,     646,     Neut,      Inval,      targSW,     L,      0.22052,     cueNW,      5,           pcSW,           L,     1,     0.4587
6,     647,     Fear,      Distr,      targSE,     R,      0.1232,     cueDI,      3,           pcSE,           R,     1,     0.4524
6,     648,     Neut,      Valid,      targSE,     R,      0.02148,     cueSE,      1,           pcSE,           L,     0,     0.3872
6,     649,     Fear,      Valid,      targSW,     R,      0.068824,     cueSW,      10,           pcSW,           R,     1,     0.3879
6,     650,     Neut,      Distr,      targNW,     R,      0.012,     cueDI,      1,           pcNW,           L,     0,     0.3157
6,     651,     Neut,      Distr,      targNW,     R,      0.1232,     cueDI,      1,           pcNW,           R,     1,     0.4193
6,     652,     Fear,      Distr,      targSE,     R,      0.02148,     cueDI,      3,           pcSE,           L,     0,     0.3140
6,     653,     Neut,      Valid,      targSE,     R,      0.012,     cueSE,      9,           pcSE,           R,     1,     0.3147
6,     654,     Fear,      Inval,      targSE,     R,      0.22052,     cueSW,      8,           pcSE,           R,     1,     0.3711
6,     655,     Fear,      Valid,      targNE,     R,      0.012,     cueNE,      6,           pcNE,           L,     0,     0.4034
6,     656,     Neut,      Inval,      targNE,     R,      0.012,     cueSE,      3,           pcNE,           L,     0,     0.3789
6,     657,     Neut,      Inval,      targSE,     L,      0.068824,     cueSW,      6,           pcSE,           L,     1,     0.3396
6,     658,     Neut,      Distr,      targSW,     L,      0.038449,     cueDI,      6,           pcSW,           R,     0,     0.3467
6,     659,     Fear,      Distr,      targNW,     L,      0.012,     cueDI,      1,           pcNW,           L,     1,     0.3713
6,     660,     Fear,      Inval,      targSE,     L,      0.1232,     cueNE,      1,           pcSE,           L,     1,     0.5235
6,     661,     Neut,      Distr,      targNW,     L,      0.1232,     cueDI,      8,           pcNW,           L,     1,     0.4838
6,     662,     Fear,      Inval,      targSW,     R,      0.39473,     cueNE,      5,           pcSW,           R,     1,     0.4670
