Subject AB101128, Day 1, 28-Nov-2010 19:40:18
block	 trial	 cueEmo	 validity	 targLoc	 tilt	 contrast	 cueLoc	 cueID	 postCueLoc	 resp	 correct	 RT

 Start Time = 28-Nov-2010 19:44:56
2,     113,     Neut,      Valid,      targNW,     L,      0.39473,     cueNW,      7,           pcNW,           L,     1,     0.5404
2,     114,     Fear,      Distr,      targNW,     L,      0.068824,     cueDI,      11,           pcNW,           L,     1,     0.5979
2,     115,     Fear,      Valid,      targSE,     R,      0.39473,     cueSE,      3,           pcSE,           R,     1,     0.3254
2,     116,     Fear,      Valid,      targNE,     L,      0.1232,     cueNE,      11,           pcNE,           L,     1,     0.4923
2,     117,     Fear,      Valid,      targSW,     L,      0.1232,     cueSW,      7,           pcSW,           L,     1,     0.3735
2,     118,     Fear,      Distr,      targSE,     L,      0.22052,     cueDI,      10,           pcSE,           L,     1,     0.3962
2,     119,     Fear,      Distr,      targNE,     L,      0.02148,     cueDI,      2,           pcNE,           R,     0,     0.4216
2,     120,     Fear,      Distr,      targNE,     R,      0.012,     cueDI,      7,           pcNE,           R,     1,     0.3819
2,     121,     Fear,      Valid,      targSE,     L,      0.068824,     cueSE,      1,           pcSE,           L,     1,     0.4784
2,     122,     Neut,      Valid,      targSW,     R,      0.068824,     cueSW,      2,           pcSW,           R,     1,     0.5170
2,     123,     Neut,      Distr,      targSE,     R,      0.038449,     cueDI,      3,           pcSE,           R,     1,     0.5410
2,     124,     Neut,      Valid,      targNW,     L,      0.012,     cueNW,      3,           pcNW,           L,     1,     0.4778
2,     125,     Neut,      Inval,      targNW,     R,      0.038449,     cueSW,      11,           pcNW,           L,     0,     0.5008
2,     126,     Neut,      Inval,      targNE,     L,      0.39473,     cueSW,      11,           pcNE,           L,     1,     0.4702
2,     127,     Neut,      Inval,      targSW,     R,      0.1232,     cueNW,      8,           pcSW,           R,     1,     0.5020
2,     128,     Neut,      Inval,      targSE,     L,      0.39473,     cueSW,      6,           pcSE,           L,     1,     0.4203
2,     129,     Fear,      Distr,      targSE,     R,      0.39473,     cueDI,      10,           pcSE,           R,     1,     0.4767
2,     130,     Neut,      Inval,      targSW,     L,      0.39473,     cueNE,      3,           pcSW,           L,     1,     0.5343
2,     131,     Fear,      Inval,      targNW,     R,      0.038449,     cueSE,      8,           pcNW,           R,     1,     0.6533
2,     132,     Fear,      Inval,      targNE,     R,      0.038449,     cueSW,      11,           pcNE,           L,     0,     0.4545
2,     133,     Neut,      Valid,      targNE,     L,      0.39473,     cueNE,      2,           pcNE,           L,     1,     0.4138
2,     134,     Neut,      Distr,      targSW,     R,      0.22052,     cueDI,      11,           pcSW,           R,     1,     0.4527
2,     135,     Neut,      Valid,      targSW,     L,      0.22052,     cueSW,      2,           pcSW,           L,     1,     0.3969
2,     136,     Fear,      Valid,      targSE,     L,      0.39473,     cueSE,      7,           pcSE,           L,     1,     0.3258
2,     137,     Neut,      Inval,      targSW,     R,      0.012,     cueSE,      10,           pcSW,           R,     1,     0.3743
2,     138,     Neut,      Distr,      targSW,     L,      0.39473,     cueDI,      4,           pcSW,           L,     1,     0.3411
2,     139,     Fear,      Valid,      targNW,     R,      0.1232,     cueNW,      10,           pcNW,           R,     1,     0.4942
2,     140,     Neut,      Distr,      targSE,     L,      0.038449,     cueDI,      11,           pcSE,           L,     1,     0.4293
2,     141,     Fear,      Inval,      targNE,     R,      0.012,     cueSW,      9,           pcNE,           R,     1,     0.3650
2,     142,     Neut,      Valid,      targNE,     L,      0.22052,     cueNE,      9,           pcNE,           L,     1,     0.4301
2,     143,     Neut,      Distr,      targSW,     R,      0.012,     cueDI,      8,           pcSW,           R,     1,     0.4618
2,     144,     Fear,      Inval,      targNW,     R,      0.1232,     cueSW,      9,           pcNW,           R,     1,     0.4937
2,     145,     Fear,      Inval,      targSE,     R,      0.39473,     cueSW,      3,           pcSE,           R,     1,     0.4932
2,     146,     Fear,      Valid,      targSE,     L,      0.012,     cueSE,      9,           pcSE,           L,     1,     0.5421
2,     147,     Fear,      Inval,      targNE,     R,      0.068824,     cueNW,      8,           pcNE,           L,     0,     0.6220
2,     148,     Neut,      Valid,      targSE,     L,      0.012,     cueSE,      7,           pcSE,           R,     0,     0.4699
2,     149,     Fear,      Distr,      targSW,     L,      0.068824,     cueDI,      3,           pcSW,           L,     1,     0.5985
2,     150,     Fear,      Valid,      targNE,     R,      0.39473,     cueNE,      6,           pcNE,           R,     1,     0.5429
2,     151,     Neut,      Inval,      targSE,     R,      0.1232,     cueNW,      11,           pcSE,           R,     1,     0.5896
2,     152,     Fear,      Valid,      targNW,     L,      0.1232,     cueNW,      10,           pcNW,           L,     1,     0.5586
2,     153,     Neut,      Distr,      targNE,     R,      0.39473,     cueDI,      1,           pcNE,           R,     1,     0.3995
2,     154,     Fear,      Distr,      targSW,     R,      0.1232,     cueDI,      6,           pcSW,           R,     1,     0.4555
2,     155,     Fear,      Distr,      targSW,     R,      0.068824,     cueDI,      2,           pcSW,           R,     1,     0.5578
2,     156,     Neut,      Valid,      targNE,     L,      0.012,     cueNE,      1,           pcNE,           L,     1,     0.4395
2,     157,     Neut,      Valid,      targNE,     L,      0.012,     cueNE,      2,           pcNE,           R,     0,     0.4558
2,     158,     Neut,      Distr,      targSE,     R,      0.22052,     cueDI,      10,           pcSE,           R,     1,     0.4855
2,     159,     Fear,      Distr,      targNW,     R,      0.068824,     cueDI,      10,           pcNW,           L,     0,     0.9114
2,     160,     Neut,      Valid,      targNE,     R,      0.038449,     cueNE,      3,           pcNE,           L,     0,     0.5421
2,     161,     Fear,      Valid,      targSW,     R,      0.22052,     cueSW,      6,           pcSW,           R,     1,     0.4719
2,     162,     Fear,      Valid,      targSE,     L,      0.02148,     cueSE,      10,           pcSE,           L,     1,     0.4465
2,     163,     Fear,      Distr,      targSW,     L,      0.012,     cueDI,      3,           pcSW,           L,     1,     0.3985
2,     164,     Neut,      Distr,      targNW,     R,      0.068824,     cueDI,      3,           pcNW,           R,     1,     0.4631
2,     165,     Neut,      Valid,      targNE,     L,      0.22052,     cueNE,      10,           pcNE,           L,     1,     0.5821
2,     166,     Fear,      Inval,      targNE,     L,      0.1232,     cueNW,      7,           pcNE,           L,     1,     0.5588
2,     167,     Fear,      Inval,      targSE,     L,      0.068824,     cueNE,      4,           pcSE,           L,     1,     0.5103
2,     168,     Neut,      Distr,      targSE,     R,      0.038449,     cueDI,      5,           pcSE,           R,     1,     0.4401
2,     169,     Neut,      Inval,      targNW,     R,      0.22052,     cueNE,      6,           pcNW,           R,     1,     0.4947
2,     170,     Fear,      Valid,      targSE,     L,      0.1232,     cueSE,      8,           pcSE,           L,     1,     0.3678
2,     171,     Fear,      Inval,      targSE,     L,      0.02148,     cueSW,      1,           pcSE,           L,     1,     0.3584
2,     172,     Fear,      Distr,      targSE,     L,      0.22052,     cueDI,      6,           pcSE,           L,     1,     0.4149
2,     173,     Neut,      Valid,      targNE,     R,      0.038449,     cueNE,      9,           pcNE,           R,     1,     0.4308
2,     174,     Neut,      Inval,      targSE,     L,      0.1232,     cueNW,      7,           pcSE,           L,     1,     0.4705
2,     175,     Fear,      Distr,      targSE,     L,      0.012,     cueDI,      8,           pcSE,           L,     1,     0.3823
2,     176,     Fear,      Inval,      targNW,     L,      0.068824,     cueSW,      4,           pcNW,           R,     0,     0.4806
2,     177,     Neut,      Valid,      targSW,     L,      0.1232,     cueSW,      7,           pcSW,           L,     1,     0.4795
2,     178,     Fear,      Inval,      targNW,     L,      0.1232,     cueSW,      9,           pcNW,           R,     0,     0.4321
2,     179,     Fear,      Valid,      targSE,     R,      0.068824,     cueSE,      7,           pcSE,           R,     1,     0.4798
2,     180,     Neut,      Valid,      targNW,     R,      0.1232,     cueNW,      1,           pcNW,           R,     1,     0.8557
2,     181,     Fear,      Valid,      targNE,     L,      0.012,     cueNE,      11,           pcNE,           L,     1,     0.3202
2,     182,     Fear,      Inval,      targSW,     L,      0.012,     cueSE,      3,           pcSW,           L,     1,     0.4144
2,     183,     Neut,      Inval,      targNW,     L,      0.012,     cueSE,      2,           pcNW,           L,     1,     0.4007
2,     184,     Fear,      Distr,      targNE,     R,      0.22052,     cueDI,      2,           pcNE,           R,     1,     0.4394
2,     185,     Neut,      Distr,      targNE,     L,      0.39473,     cueDI,      7,           pcNE,           L,     1,     0.4326
2,     186,     Neut,      Distr,      targSW,     L,      0.038449,     cueDI,      4,           pcSW,           L,     1,     0.4400
2,     187,     Neut,      Inval,      targNE,     R,      0.22052,     cueNW,      5,           pcNE,           R,     1,     0.5529
2,     188,     Neut,      Distr,      targNW,     L,      0.02148,     cueDI,      3,           pcNW,           L,     1,     0.3667
2,     189,     Neut,      Valid,      targSW,     L,      0.02148,     cueSW,      6,           pcSW,           R,     0,     0.3838
2,     190,     Neut,      Inval,      targSE,     L,      0.02148,     cueNW,      5,           pcSE,           L,     1,     0.4719
2,     191,     Fear,      Valid,      targSW,     L,      0.068824,     cueSW,      7,           pcSW,           L,     1,     0.4794
2,     192,     Fear,      Inval,      targSW,     R,      0.068824,     cueNE,      6,           pcSW,           R,     1,     0.4790
2,     193,     Fear,      Distr,      targSE,     R,      0.02148,     cueDI,      4,           pcSE,           L,     0,     0.3292
2,     194,     Neut,      Inval,      targSW,     R,      0.068824,     cueSE,      9,           pcSW,           R,     1,     0.4562
2,     195,     Fear,      Inval,      targNW,     L,      0.012,     cueSE,      2,           pcNW,           L,     1,     0.3293
2,     196,     Neut,      Valid,      targNW,     R,      0.39473,     cueNW,      4,           pcNW,           R,     1,     0.4878
2,     197,     Neut,      Valid,      targSE,     R,      0.038449,     cueSE,      3,           pcSE,           R,     1,     0.3829
2,     198,     Neut,      Inval,      targSW,     L,      0.1232,     cueNE,      6,           pcSW,           L,     1,     0.4963
2,     199,     Fear,      Inval,      targSW,     L,      0.02148,     cueNE,      4,           pcSW,           L,     1,     0.4473
2,     200,     Fear,      Inval,      targSE,     L,      0.22052,     cueNW,      8,           pcSE,           L,     1,     0.4568
2,     201,     Neut,      Inval,      targNW,     L,      0.038449,     cueSE,      2,           pcNW,           R,     0,     0.5112
2,     202,     Neut,      Valid,      targSE,     L,      0.012,     cueSE,      9,           pcSE,           L,     1,     0.4170
2,     203,     Neut,      Inval,      targNE,     R,      0.068824,     cueNW,      10,           pcNE,           R,     1,     0.3843
2,     204,     Neut,      Valid,      targSW,     L,      0.038449,     cueSW,      9,           pcSW,           L,     1,     0.6719
2,     205,     Fear,      Distr,      targSW,     L,      0.02148,     cueDI,      6,           pcSW,           R,     0,     0.3687
2,     206,     Fear,      Distr,      targNE,     R,      0.39473,     cueDI,      9,           pcNE,           R,     1,     0.4558
2,     207,     Fear,      Inval,      targNE,     L,      0.038449,     cueSW,      3,           pcNE,           L,     1,     0.4096
2,     208,     Neut,      Distr,      targSE,     L,      0.012,     cueDI,      10,           pcSE,           R,     0,     0.3772
2,     209,     Neut,      Valid,      targSW,     L,      0.39473,     cueSW,      3,           pcSW,           L,     1,     0.3518
2,     210,     Fear,      Inval,      targNE,     L,      0.02148,     cueSE,      11,           pcNE,           R,     0,     0.4737
2,     211,     Fear,      Valid,      targSE,     L,      0.038449,     cueSE,      5,           pcSE,           L,     1,     0.4979
2,     212,     Neut,      Distr,      targNW,     R,      0.22052,     cueDI,      5,           pcNW,           R,     1,     0.4014
2,     213,     Neut,      Distr,      targNW,     R,      0.22052,     cueDI,      11,           pcNW,           R,     1,     0.6259
2,     214,     Fear,      Distr,      targNW,     L,      0.22052,     cueDI,      10,           pcNW,           L,     1,     0.4089
2,     215,     Fear,      Inval,      targSE,     L,      0.012,     cueNW,      10,           pcSE,           L,     1,     0.4803
2,     216,     Fear,      Inval,      targSW,     L,      0.068824,     cueNW,      9,           pcSW,           R,     0,     0.8255
2,     217,     Fear,      Distr,      targNW,     L,      0.39473,     cueDI,      7,           pcNW,           L,     1,     0.4421
2,     218,     Fear,      Inval,      targSW,     R,      0.038449,     cueNW,      7,           pcSW,           R,     1,     0.5457
2,     219,     Neut,      Inval,      targNE,     R,      0.22052,     cueSW,      8,           pcNE,           R,     1,     0.6811
2,     220,     Fear,      Valid,      targNE,     R,      0.068824,     cueNE,      3,           pcNE,           R,     1,     0.6170
2,     221,     Fear,      Distr,      targSW,     L,      0.22052,     cueDI,      4,           pcSW,           L,     1,     0.4570
2,     222,     Fear,      Distr,      targNW,     L,      0.012,     cueDI,      9,           pcNW,           L,     1,     0.3367
2,     223,     Fear,      Inval,      targSW,     R,      0.038449,     cueNW,      10,           pcSW,           R,     1,     0.5461
2,     224,     Neut,      Distr,      targNE,     R,      0.1232,     cueDI,      5,           pcNE,           R,     1,     0.5221

Block 3 Start Time = 28-Nov-2010 19:57:46
3,     225,     Neut,      Inval,      targNE,     R,      0.012,     cueSE,      6,           pcNE,           R,     1,     0.3904
3,     226,     Neut,      Distr,      targSE,     R,      0.39473,     cueDI,      6,           pcSE,           R,     1,     0.4123
3,     227,     Fear,      Valid,      targSW,     R,      0.038449,     cueSW,      11,           pcSW,           L,     0,     0.4127
3,     228,     Neut,      Distr,      targNE,     R,      0.02148,     cueDI,      5,           pcNE,           R,     1,     0.3962
3,     229,     Fear,      Valid,      targNE,     L,      0.012,     cueNE,      5,           pcNE,           L,     1,     0.3817
3,     230,     Neut,      Inval,      targSE,     L,      0.02148,     cueNW,      1,           pcSE,           L,     1,     0.4226
3,     231,     Neut,      Valid,      targNW,     R,      0.012,     cueNW,      3,           pcNW,           L,     0,     0.2946
3,     232,     Neut,      Distr,      targSE,     L,      0.39473,     cueDI,      6,           pcSE,           L,     1,     0.3564
