Subject AB101128, 28-Nov-2010 19:13:51, Gabor Tilt = 4
trial	 cue	 validity	 targLoc	 tilt	 cueLoc	 contrast	 postCueLoc	 resp	 correct	 RT

 Start Time = 28-Nov-2010 19:16:28
    158,    Dot,      Valid,        targSW,       L,      cueSW,           0.033477,           pcSW,           L,        1,   0.4855
    159,    Dot,      Distr,        targNE,       R,      cueDI,           0.033477,           pcNE,           R,        1,   0.4605
    160,    Dot,      Valid,        targNE,       L,      cueNE,           0.96833,           pcNE,           L,        1,   0.3165
    161,    Dot,      Valid,        targNE,       R,      cueNE,           0.065615,           pcNE,           R,        1,   0.4774
    162,    Dot,      Inval,        targSE,       R,      cueSW,           0.033477,           pcSE,           L,        0,   0.3648
    163,    Dot,      Valid,        targSW,       L,      cueSW,           0.046868,           pcSW,           L,        1,   0.3975
    164,    Dot,      Inval,        targNW,       R,      cueNE,           0.69167,           pcNW,           R,        1,   0.5247
    165,    Dot,      Distr,        targSW,       L,      cueDI,           0.01708,           pcSW,           L,        1,   0.3416
    166,    Dot,      Distr,        targNW,       L,      cueDI,           0.18005,           pcNW,           L,        1,   0.4932
    167,    Dot,      Inval,        targSW,       R,      cueNE,           0.065615,           pcSW,           L,        0,   0.3805
    168,    Dot,      Distr,        targSE,       R,      cueDI,           0.25206,           pcSE,           R,        1,   0.4058
    169,    Dot,      Distr,        targSE,       R,      cueDI,           0.01708,           pcSE,           L,        0,   0.3725
    170,    Dot,      Distr,        targSW,       L,      cueDI,           0.065615,           pcSW,           L,        1,   0.4450
    171,    Dot,      Valid,        targNE,       L,      cueNE,           0.69167,           pcNE,           L,        1,   0.4301
    172,    Dot,      Inval,        targNW,       L,      cueNE,           0.49405,           pcNW,           L,        1,   0.4124
    173,    Dot,      Valid,        targNW,       L,      cueNW,           0.01708,           pcNW,           R,        0,   0.2624
    174,    Dot,      Inval,        targNE,       R,      cueNW,           0.1286,           pcNE,           R,        1,   0.3901
    175,    Dot,      Valid,        targSE,       L,      cueSE,           0.01708,           pcSE,           L,        1,   0.3261
    176,    Dot,      Distr,        targSE,       L,      cueDI,           0.1286,           pcSE,           L,        1,   0.3585
    177,    Dot,      Inval,        targNE,       L,      cueSW,           0.1286,           pcNE,           L,        1,   0.4383
    178,    Dot,      Valid,        targNW,       L,      cueNW,           0.35289,           pcNW,           L,        1,   0.4933
    179,    Dot,      Distr,        targSE,       L,      cueDI,           0.01708,           pcSE,           R,        0,   0.4209
    180,    Dot,      Distr,        targSE,       L,      cueDI,           0.25206,           pcSE,           L,        1,   0.3405
    181,    Dot,      Inval,        targNW,       R,      cueSW,           0.1286,           pcNW,           R,        1,   0.5581
    182,    Dot,      Distr,        targNW,       L,      cueDI,           0.0122,           pcNW,           R,        0,   0.2628
    183,    Dot,      Distr,        targNW,       R,      cueDI,           0.0122,           pcNW,           L,        0,   0.2691
    184,    Dot,      Inval,        targNE,       R,      cueSW,           0.01708,           pcNE,           R,        1,   0.3584
